body_part;exercise_name;preparation;execution
Neck;Cable Neck Flexion;Sit on bench facing away from middle pulley. Place neck in harness cable attachment. Place arms on lower thighs for support.;Move head away from pulley by bending neck forward until chin touches upper chest. Return head by hyperextending neck and repeat.
Neck;Cable Neck Flexion (with belt);Attach belt on low pulley cable by attaching carabiner on belt buckle. Grasp attached belt, face away from pulley, and place head in belt loop. With belt above ears, clamp belt snugly around head by tightly gripping ends close to back of mid-head. With neck braced and assistance of arm, lunge forward to angle torso forward with feet staggered. Place hand on lower thigh for support.;Pull head forward and down by flexing neck until chin touches upper chest. Return by hyperextending neck until head is angled upward. Repeat.
Neck;Cable Neck Rotation (with belt);Place workout chair or bench with vertical back support facing to one side near adjustable height cable pulley. Adjust pulley approximately height of head when seated. Attach belt on low pulley cable by attaching carabiner on belt buckle. Sit on bench, grasp attached belt from side. Face toward cable pulley and place head in belt loop. With belt above ears, clamp belt snugly around head by tightly gripping ends close forehead. Position torso upright with feet wide apart and hand nearest cable pulley on lower thigh for added support.;Turn head away from pulley cable by rotating head away from pulley. Turn head back toward cable pulley and repeat. Turn seat the opposite direction or attach belt to pulley on opposite side and continue with other side.
Neck;Cable Lateral Neck Flexion (with belt);Adjust pulley approximately height of neck or head when seated. Attach belt on low pulley cable by attaching carabiner on belt buckle. Sit on bench with pulley to one side and feet apart. Place head in belt loop. With belt above ears, clamp belt snugly around head by tightly gripping ends close to side of head. Pull torso upright by bracing opposite hand on far side of bench.;Pull head away from pulley cable by laterally flexing neck. Tilt head back toward cable pulley and repeat. Sit on bench the opposite direction and continue with other side.
Neck;Lever Neck Flexion (plate loaded);Sit on seat in machine. Position padded lever on face. Position body so neck is in line with lever axis. Grasp handles for support.;Move head forward by flexing neck until chin touches upper chest. Return head by hyperextending neck and repeat.
Neck;Lever Lateral Neck Flexion (plate loaded);Sit on seat in machine with feet apart . Position padded lever on side of head. Center body so neck is in line with lever axis. Grasp handles for support.;Move head down to side by laterally flexing neck. Return head to opposite side and repeat. Sit in machine backwards and continue with opposite side.
Neck;Lever Neck Flexion;Sit on seat in machine. Position padded lever on face. Position body so neck is in line with lever axis. Grasp handles for support.;Move head forward by flexing neck until chin touches upper chest. Return head by hyperextending neck and repeat.
Neck;Lever Lateral Neck Flexion;Sit on seat in machine with feet apart. Position side of head on padded lever. Center body so neck is in line with lever axis. Grasp handles for support.;Move head down to side by laterally flexing neck. Return head to opposite side and repeat. Sit in machine backwards and continue with opposite side.
Neck;Weighted Lying Neck Flexion;Place folded towel on weight plate(s). Lie supine on bench, head extending off of end of bench. Place plates on forehead with towel placed in between for comfort.;Move head up by flexing neck until chin touches upper chest. Return by hyperextending neck and repeat.
Neck;Weighted Neck Flexion;Place folded towel on weight plate. Lie supine perpendicular on bench with low back and hips extending off and feet on floor. Place weight and towel on forehead. Place plates on forehead with towel placed in between for comfort.;Move head up by flexing neck until chin touches upper chest. Return by hyperextending neck and repeat.
